code|mean|std|n_pos|total
25023|0.9877450980392158|0.01655092452562169|126|1386
29868|0.9882352941176471|0.02352941176470589|42|462
139527|0.9882352941176471|0.02352941176470589|37|407
58214|0.9888803088803089|0.013627538791324023|88|968
264440|0.9894736842105264|0.021052631578947347|47|517
487926|0.9902906201499551|0.006912894090412369|520|5720
27771|0.9913043478260869|0.017391304347826077|64|704
45377|0.9925925925925926|0.014814814814814793|64|704
495499|0.9935483870967742|0.0129032258064516|78|858
736553|0.9935483870967742|0.012903225806451599|72|792
139550|0.9942028985507246|0.00709997026893678|173|1903
487942|0.9944285334802888|0.004059271185921862|629|6919
433961|0.9944444444444445|0.011111111111111117|184|2024
51961|0.9955555555555555|0.008888888888888903|110|1210
98301|0.9957441992076965|0.005212761746062579|236|2596
301804|0.9957446808510639|0.008510638297872353|122|1342
25015|0.9957446808510639|0.008510638297872353|122|1342
204545|0.9959183673469388|0.008163265306122458|118|1298
82511|0.9959550154181027|0.005400899225524076|369|4059
17590|0.996078431372549|0.007843137254901978|125|1375
487934|0.996235231292971|0.005476627281986948|527|5797
322867|0.9963113402418193|0.002293715833394451|814|8954
19711|0.9963636363636365|0.007272727272727275|141|1551
17434|0.9963636363636365|0.007272727272727276|279|3069
28571|0.9966101694915255|0.006779661016949178|142|1562
183145|0.9967213114754099|0.006557377049180336|147|1617
18697|0.996756504027478|0.002648561320093259|461|5071
57703|0.9968253968253968|0.006349206349206371|160|1760
134585|0.99705866450392|0.0036025478649227833|339|3729
19687|0.9975902739974597|0.002951388813292176|414|4554
381806|0.9980929434361114|0.0017884627998914118|1049|11539
487959|0.998156525432728|0.002257945840173456|542|5962
28852|0.9981981981981981|0.0036036036036036557|279|3069
622381|0.9982300884955752|0.003539823008849563|285|3135
30163|0.9982608695652175|0.0034782608695652414|282|3102
30973|0.9982929299570287|0.0010792778530839724|1464|16104
17426|0.9983393751183376|0.001404218609934884|2405|26455
59022|0.9983471074380166|0.0033057851239669312|303|3333
882944|0.9987421383647799|0.002515723270440251|399|4389
21600|0.9987675587949194|0.0007808120152340975|2029|22319
110114|0.9988099170953483|0.0007424975975002581|2521|27731
7518|0.9988600343363151|0.0009307818094466137|1314|14454
66902|0.9988771913213123|0.0016357467051397417|1775|19525
7138|0.9988963619069464|0.001474342740392694|1364|15004
18358|0.9989528795811518|0.0020942408376963596|474|5214
7369|0.998979585196176|0.001249754575148826|978|10758
7773|0.9990171923479398|0.0009209503242410387|2037|22407
17517|0.9991556721185976|0.00042216482054847107|2368|26048
19752|0.9991752550968787|0.0012011672759190861|2423|26653
20859|0.9991902834008097|0.0016194331983805821|620|6820
178616|0.9991917374380108|0.0010779859573429027|1855|20405
45443|0.9991999967999872|0.0009798030823064943|1249|13739
20933|0.9992277992277993|0.0015444015444015414|648|7128
63016|0.9992337164750957|0.001532567049808442|651|7161
23242|0.9992565055762082|0.0014869888475836034|678|7458
25718|0.9992673992673993|0.0014652014652015042|679|7469
486423|0.9992932862190813|0.0014134275618374657|708|7788
28233|0.9993442605328152|0.0008031153480076211|1525|16775
339143|0.9994202898550725|0.0011594202898550954|862|9482
30940|0.9994579945799458|0.001084010840108407|916|10076
67686|0.9995196150761828|0.0006401928958590387|3120|34320
7112|0.999644760213144|0.0007104795737122415|1410|15510
19208|0.999746514575412|0.0005069708491761915|1971|21681
7187|0.9997539975399754|0.0004920049200491938|2037|22407
747741|1.0|0.0|6|66
139543|1.0|0.0|8|88
7492|1.0|0.0|8|88
28712|1.0|0.0|12|132
75007|1.0|0.0|16|176
141358|1.0|0.0|32|352
7328|1.0|0.0|16|176
28746|1.0|0.0|12|132
7120|1.0|0.0|8|88
7096|1.0|0.0|14|154
7062|1.0|0.0|15|165
296095|1.0|0.0|5|55
7047|1.0|0.0|9|99
716951|1.0|0.0|6|66
251454|1.0|0.0|11|121
142513|1.0|0.0|39|429
295410|1.0|0.0|19|209
7427|1.0|0.0|37|407
142786|1.0|0.0|5|55
25007|1.0|0.0|127|1397
728600|1.0|0.0|11|121
728626|1.0|0.0|71|781
7302|1.0|0.0|6|66
7310|1.0|0.0|1677|18447
7344|1.0|0.0|6|66
29512|1.0|0.0|166|1826
28902|1.0|0.0|9|99
67421|1.0|0.0|5|55
728592|1.0|0.0|5|55
384834|1.0|0.0|9|99
7864|1.0|0.0|28|308
7534|1.0|0.0|5|55
112599|1.0|0.0|174|1914
111567|1.0|0.0|5|55
111252|1.0|0.0|11|121
27318|1.0|0.0|22|242
823773|1.0|0.0|5|55
823781|1.0|0.0|6|66
823799|1.0|0.0|8|88
110544|1.0|0.0|137|1507
264499|1.0|0.0|36|396
825208|1.0|0.0|8|88
264507|1.0|0.0|136|1496
264531|1.0|0.0|108|1188
82644|1.0|0.0|10|110
112821|1.0|0.0|6|66
831008|1.0|0.0|10|110
264648|1.0|0.0|79|869
882936|1.0|0.0|406|4466
265157|1.0|0.0|81|891
109009|1.0|0.0|18|198
108860|1.0|0.0|7|77
265116|1.0|0.0|90|990
93179|1.0|0.0|74|814
93187|1.0|0.0|22|242
265074|1.0|0.0|30|330
104661|1.0|0.0|15|165
264994|1.0|0.0|85|935
264853|1.0|0.0|123|1353
264846|1.0|0.0|20|220
84999|1.0|0.0|6|66
139519|1.0|0.0|11|121
81240|1.0|0.0|8|88
115725|1.0|0.0|23|253
139501|1.0|0.0|24|264
7633|1.0|0.0|6|66
7641|1.0|0.0|26|286
28654|1.0|0.0|11|121
134999|1.0|0.0|5|55
7708|1.0|0.0|1364|15004
771477|1.0|0.0|10|110
772020|1.0|0.0|387|4257
7732|1.0|0.0|7|77
7765|1.0|0.0|341|3751
7831|1.0|0.0|7|77
7856|1.0|0.0|58|638
24984|1.0|0.0|168|1848
81224|1.0|0.0|16|176
7872|1.0|0.0|45|495
7898|1.0|0.0|491|5401
79053|1.0|0.0|11|121
28621|1.0|0.0|17|187
130682|1.0|0.0|13|143
128512|1.0|0.0|6|66
128413|1.0|0.0|15|165
25320|1.0|0.0|56|616
254284|1.0|0.0|16|176
285403|1.0|0.0|82|902
121855|1.0|0.0|9|99
285395|1.0|0.0|85|935
115790|1.0|0.0|35|385
81018|1.0|0.0|31|341
134577|1.0|0.0|623|6853
143149|1.0|0.0|10|110
244673|1.0|0.0|72|792
143164|1.0|0.0|9|99
195586|1.0|0.0|5|55
195503|1.0|0.0|9|99
481598|1.0|0.0|572|6292
345355|1.0|0.0|9|99
193433|1.0|0.0|12|132
486431|1.0|0.0|1624|17864
192955|1.0|0.0|5|55
487967|1.0|0.0|6|66
20958|1.0|0.0|26|286
192708|1.0|0.0|12|132
192526|1.0|0.0|5|55
495416|1.0|0.0|13|143
497818|1.0|0.0|6|66
347047|1.0|0.0|14|154
339358|1.0|0.0|8|88
505511|1.0|0.0|6|66
21329|1.0|0.0|15|165
21576|1.0|0.0|19|209
333583|1.0|0.0|9|99
191239|1.0|0.0|57|627
21618|1.0|0.0|119|1309
330373|1.0|0.0|27|297
264747|1.0|0.0|8|88
32896|1.0|0.0|35|385
327767|1.0|0.0|14|154
182626|1.0|0.0|13|143
18259|1.0|0.0|39|429
181826|1.0|0.0|6|66
50484|1.0|0.0|11|121
327692|1.0|0.0|5|55
349993|1.0|0.0|8|88
460980|1.0|0.0|12|132
382507|1.0|0.0|14|154
204552|1.0|0.0|8|88
204537|1.0|0.0|6|66
397786|1.0|0.0|5|55
204164|1.0|0.0|25|275
204081|1.0|0.0|15|165
204057|1.0|0.0|8|88
422543|1.0|0.0|44|484
20396|1.0|0.0|28|308
203943|1.0|0.0|52|572
203935|1.0|0.0|55|605
203927|1.0|0.0|41|451
426171|1.0|0.0|6|66
20750|1.0|0.0|169|1859
427682|1.0|0.0|12|132
20289|1.0|0.0|75|825
205088|1.0|0.0|5|55
19901|1.0|0.0|33|363
19893|1.0|0.0|70|770
19885|1.0|0.0|68|748
44859|1.0|0.0|11|121
205674|1.0|0.0|10|110
205708|1.0|0.0|101|1111
453530|1.0|0.0|5|55
45427|1.0|0.0|409|4499
45484|1.0|0.0|348|3828
196592|1.0|0.0|7|77
196444|1.0|0.0|5|55
428102|1.0|0.0|11|121
17988|1.0|0.0|28|308
223149|1.0|0.0|6|66
178566|1.0|0.0|16|176
58024|1.0|0.0|22|242
58032|1.0|0.0|21|231
58115|1.0|0.0|12|132
30510|1.0|0.0|6|66
241109|1.0|0.0|7|77
304519|1.0|0.0|18|198
161281|1.0|0.0|34|374
59014|1.0|0.0|7|77
59055|1.0|0.0|21|231
304287|1.0|0.0|89|979
205070|1.0|0.0|5|55
303925|1.0|0.0|6|66
